numeroClientesAtendidos;numeroClientesQuePasaronPorLaCola;tiempoPromedioAtencionClientes;numeroClientesEnCola;numeroClientesEnAtencion;tiempoPromedioEsperaEnCola
1;1;5228;30;100;4059
2;2;5266;29;100;4083
3;3;5863;28;100;4686
4;4;4855;27;100;4988
5;5;4597;26;100;5525
6;6;5136;25;100;5884
7;7;4903;24;100;6387
8;8;5491;23;100;6770
9;9;5457;22;100;7249
10;10;6028;21;100;7639
11;11;5784;20;100;8108
12;12;6384;19;100;8504
13;13;7118;18;100;8983
14;14;6989;17;100;9393
15;15;7618;16;100;9850
16;16;7681;15;100;10253
17;17;8288;14;100;10708
18;18;8402;13;100;11114
19;19;8154;12;100;11581
20;20;8747;11;100;12001
21;21;9431;10;100;12475
22;22;9262;9;100;12905
23;23;9945;8;100;13379
24;24;9909;7;100;13813
25;25;9964;6;100;14300
26;26;10586;5;100;14750
27;27;10753;4;100;15239
28;28;11412;3;100;15696
29;29;11601;2;100;16179
30;30;12245;1;100;16632
31;31;12505;0;100;17077
32;31;13105;0;99;17077
33;31;13717;0;98;17077
34;31;13966;0;97;17077
35;31;13666;0;96;17077
36;31;14291;0;95;17077
37;31;14092;0;94;17077
38;31;14718;0;93;17077
39;31;14564;0;92;17077
40;31;15191;0;91;17077
41;31;15114;0;90;17077
42;31;15715;0;89;17077
43;31;15672;0;88;17077
44;31;16296;0;87;17077
45;31;16323;0;86;17077
46;31;16919;0;85;17077
47;31;17549;0;84;17077
48;31;17587;0;83;17077
49;31;17704;0;82;17077
50;31;18319;0;81;17077
51;31;18921;0;80;17077
52;31;19042;0;79;17077
53;31;19642;0;78;17077
54;31;19812;0;77;17077
55;31;20405;0;76;17077
56;31;20588;0;75;17077
57;31;21197;0;74;17077
58;31;21424;0;73;17077
59;31;22028;0;72;17077
60;31;22264;0;71;17077
61;31;22843;0;70;17077
62;31;23119;0;69;17077
63;31;23714;0;68;17077
64;31;23996;0;67;17077
65;31;24576;0;66;17077
66;31;25139;0;65;17077
67;31;25702;0;64;17077
68;31;26265;0;63;17077
69;31;26825;0;62;17077
70;31;27403;0;61;17077
71;31;27967;0;60;17077
72;31;28535;0;59;17077
73;31;29122;0;58;17077
74;31;29711;0;57;17077
75;31;30304;0;56;17077
76;31;30886;0;55;17077
77;31;31485;0;54;17077
78;31;32086;0;53;17077
79;31;32693;0;52;17077
80;31;33286;0;51;17077
81;31;33878;0;50;17077
82;31;34480;0;49;17077
83;31;35070;0;48;17077
84;31;35659;0;47;17077
85;31;36258;0;46;17077
86;31;36844;0;45;17077
87;31;37441;0;44;17077
88;31;38039;0;43;17077
89;31;38623;0;42;17077
90;31;39219;0;41;17077
91;31;39804;0;40;17077
92;31;40405;0;39;17077
93;31;41008;0;38;17077
94;31;41600;0;37;17077
95;31;42196;0;36;17077
96;31;42791;0;35;17077
97;31;43395;0;34;17077
98;31;43990;0;33;17077
99;31;44598;0;32;17077
100;31;45196;0;31;17077
101;31;45793;0;30;17077
102;31;46400;0;29;17077
103;31;46997;0;28;17077
104;31;47595;0;27;17077
105;31;48192;0;26;17077
106;31;48802;0;25;17077
107;31;49413;0;24;17077
108;31;50027;0;23;17077
109;31;50644;0;22;17077
110;31;51260;0;21;17077
111;31;51876;0;20;17077
112;31;52492;0;19;17077
113;31;53098;0;18;17077
114;31;53713;0;17;17077
115;31;54328;0;16;17077
116;31;54934;0;15;17077
117;31;55540;0;14;17077
118;31;56147;0;13;17077
119;31;56763;0;12;17077
120;31;57370;0;11;17077
121;31;57977;0;10;17077
122;31;58594;0;9;17077
123;31;59202;0;8;17077
124;31;59811;0;7;17077
125;31;60429;0;6;17077
126;31;61047;0;5;17077
127;31;61657;0;4;17077
128;31;62275;0;3;17077
129;31;62894;0;2;17077
130;31;63514;0;1;17077
131;31;64127;0;0;17077
