numeroClientesAtendidos;numeroClientesQuePasaronPorLaCola;tiempoPromedioAtencionClientes;numeroClientesEnCola;numeroClientesEnAtencion;tiempoPromedioEsperaEnCola
1;0;10501;0;49;0
2;0;11622;0;48;0
3;0;13013;0;47;0
4;0;14535;0;46;0
5;0;16047;0;45;0
6;0;17578;0;44;0
7;0;19075;0;43;0
8;0;20522;0;42;0
9;0;21889;0;41;0
10;0;23316;0;40;0
11;0;24729;0;39;0
12;0;26145;0;38;0
13;0;27533;0;37;0
14;0;28902;0;36;0
15;0;30291;0;35;0
16;0;31672;0;34;0
17;0;33074;0;33;0
18;0;34476;0;32;0
19;0;35847;0;31;0
20;0;37250;0;30;0
21;0;38633;0;29;0
22;0;40012;0;28;0
23;0;41415;0;27;0
24;0;42814;0;26;0
25;0;44213;0;25;0
26;0;45598;0;24;0
27;0;47004;0;23;0
28;0;48410;0;22;0
29;0;49822;0;21;0
30;0;51237;0;20;0
31;0;52648;0;19;0
32;0;54048;0;18;0
33;0;55443;0;17;0
34;0;56824;0;16;0
35;0;58201;0;15;0
36;0;59571;0;14;0
37;0;60946;0;13;0
38;0;62325;0;12;0
39;0;63702;0;11;0
40;0;65070;0;10;0
41;0;66452;0;9;0
42;0;67839;0;8;0
43;0;69215;0;7;0
44;0;70588;0;6;0
45;0;71964;0;5;0
46;0;73345;0;4;0
47;0;74733;0;3;0
48;0;76115;0;2;0
49;0;77498;0;1;0
50;0;78878;0;0;0
